"Count","Tradelist Count","Name","Edition","Condition","Language","Foil","Tags","Last Modified","Collector Number","Alter","Proxy","Purchase Price"
"1","1","Aang's Journey","tla","Near Mint","English","","","2025-11-15 16:33:07.270000","1","False","False","0.17"
"1","1","Abandon Attachments","tla","Near Mint","English","","","2025-11-15 16:33:07.270000","205","False","False","0.14"
"2","2","Abandoned Campground","dsk","Near Mint","English","","","2024-12-21 09:48:30.027000","255","False","False",""
"1","1","Aberrant","40k","Near Mint","English","","","2024-10-18 22:29:37.760000","86","False","False",""
"1","1","Abomination of Gudul","ktk","Near Mint","English","","","2026-01-07 10:29:02.570000","159","False","False",""
"1","1","Abrade","blc","Near Mint","English","","","2024-10-31 14:04:09.160000","191","False","False",""
"1","1","Abrade","tdc","Near Mint","English","","","2025-11-17 08:09:05.513000","203","False","False","0.09"
"1","1","Abstruse Appropriation","mh3","Near Mint","Spanish","","","2025-11-12 10:11:55.850000","177","False","False","0.24"
"1","1","Abundance","40k","Near Mint","English","","","2024-10-18 23:00:36.450000","210","False","False",""
"1","1","Abundant Growth","inr","Near Mint","Spanish","","","2025-01-25 23:24:13.340000","184","False","False",""
"1","1","Abundant Harvest","mh2","Near Mint","English","","","2025-11-28 11:54:13.973000","147","False","False",""
"2","2","Academy Wall","dmu","Near Mint","Spanish","","","2025-11-24 17:25:14.333000","41","False","False","0.12"
"1","1","Accursed Marauder","mh3","Near Mint","Spanish","","","2025-11-17 08:09:05.513000","80","False","False","0.25"
"1","1","Acolyte Hybrid","40k","Near Mint","English","","","2024-10-22 08:43:58.693000","70","False","False",""
"3","3","Acrobatic Cheerleader","dsk","Near Mint","English","","","2024-10-22 09:36:30.000000","1","False","False",""
"1","1","Acrobatic Maneuver","kld","Near Mint","English","","","2025-04-28 06:37:25.550000","1","False","False","0.08"
"1","1","Adarkar Wastes","dsc","Near Mint","Spanish","","","2024-10-21 12:13:31.090000","258","False","False",""
"1","1","Adelbert Steiner","fin","Near Mint","Spanish","","","2025-06-23 16:34:13.207000","3","False","False","0.06"
"2","2","Adorned Crocodile","tdm","Near Mint","Spanish","","","2025-06-29 09:15:51.403000","69","False","False",""
"1","1","Adventurer's Airship","fin","Near Mint","Spanish","","","2025-06-23 16:34:13.207000","252","False","False","0.04"
"1","1","Adventuring Gear","fdn","Near Mint","Spanish","","","2024-11-09 09:36:47.540000","249","False","False",""
"2","2","Adventuring Gear","fdn","Near Mint","English","","","2025-11-24 17:25:14.333000","249","False","False","0.12"
"1","1","Aegis Automaton","aer","Near Mint","Spanish","","","2025-04-28 06:37:25.550000","141","False","False","0.05"
"1","1","Aegis Turtle","fdn","Near Mint","English","","","2024-12-21 09:51:25.737000","150","False","False",""
"1","1","Aerial Assault","m20","Near Mint","Spanish","","","2025-04-28 06:37:25.550000","1","False","False","0.12"
